id;description_RU;description_EN;;
BlacksimthForgot;В деревне переполох — кузнец забыл, с какой стороны браться за молот. Неясно, вернется ли к нему память. Все это время деревене будет туго.;Another disaster: the village blacksmith can't seem to remember  which way to hold the hammer. Tough times ahead, at least until his memory returns.;139;148
FisherKissedTheFrog;Дети, играя на речке, увидели, как один рыбак целовал лягушку, и быстро разнесли эту новость по деревне. Рыбак пытался всё отрицать, но его репутация уже была подмочена.;Kids playing on the river bank saw a fisherman kissing a frog and told everybody. He tried to deny it, but his story didn't hold much water.;169;140
GhostAtTheMill;Поговаривают, что на мельнице завелось привидение. Церковь пришлет кого-то проверить этот слух.;Rumor has it that the mill is haunted. The church will surely send someone to investigate.;95;90
BanditInPrision;При попытке ограбить сборщика налогов были cхвачены несколько бандитов. Их дружкам удалось улизнуть, но пойманных ждет серьезное наказание.;Some bandits were caught trying to rob the tax collector. The punishment will be severe. Several of them managed to get away though.;139;132
FoolGrateful;Дурачок благодарен вам за помощь с его проказами. Он разносит по всей округе вести, о том, какая вы хорошая и понимающая.;The fool is thankful for your help with his pranks. He tells everyone how kind and understanding you are.;121;105
MerchantReturnedVeryWealthy;Торговец вернулся из города очень довольный тем, как вы ему помогли.;The merchant returned from the city, greatly pleased with your help.;68;68
TaxCollectorWasRobbed;Налоги не доехали до лорда — сборщик был найден мертвым на дороге. Лорд обещает найти и покарать всех, кто в этом виноват. Вместе с тем, ваш кошель стал тяжелее.;Peasant's money never reached the lord — the tax collector has been found dead on the road. The lord is furious. Meanwhile, your pouch got a little bit heavier.;161;160
CowLost;У одной бедной женщины пропала корова — она нигде не может ее найти.;Some poor woman lost her cow and can't find her anywhere.;68;57
CowForgotMilk;У одной бедной женщины корова вдруг перестала давать молоко. Конечно же, люди винят в этом вас.;Some poor woman's cow lost her milk all of a sudden. Naturally, people blame you.;95;81
FamilyReunited;В деревне праздник — воссоединилась семья. Люди в некотором недоумении, но рады за пару. А вас гложет чувство, что скоро вы увидите этого охотника снова.;A cause for celebration: a recently broken family reunited again! People are somewhat confused, but happy for them. You have the feeling you didn't see the end of it yet.;153;170
WidowOfBlacksmith;К вдове кузнеца внезапно посватался его старый приятель. Среди селян поднялся слушок, что смерть была не случайной.;Late blacksmith's friend proposed to the widow. Despite his seemingly noble intentions, rumor has it that the death wasn't an accident after all.;115;145
TaxCollectorAwesome;Присланный в деревню сборщик налогов пользуется большим успехом у местных девушек. Те встают в очередь, чтобы отдать свой гражданский долг.;The tax collector is very popular among local girls. They've actually formed a queue to pay their civic duty.;139;109
TaxCollectorFoundDead;Присланный в деревню сборщик налогов найден мертвым в своей комнате. Ничем хорошим для селян это не закончится.;The tax collector was found dead in his room. This doesn't bode well for the villagers.;111;87
TaxCollectorFunnyVoice;В деревню прибыл сборщик налогов с таким смешным голосом, что люди приходили толпами над ним посмеяться. Кто-то даже дал ему монетку.;The tax collector arrived. His funny voice gathered crowds of fascinated onlookers. Some even threw coins at him.;133;113
