id;description_RU;description_EN
Memory_Potion_Soldier;Доброго тебе дня, колдунья. Я уже пару лет, как с войны вернулся, но до сих пор не могу забыть всех ужасов, что пережил. Сделай с этим что-нибудь, умоляю!;Good day to you, oh witch. It's been years since I came back from war yet the horrors are still fresh in my mind. Help me, I beg of you.
Sleep_Potion_Children;У одного старичка местного яблок - целый сад. А он ими не делится и даже продавать не хочет, дни напролет караулит. Пусть он поспит чуть-чуть, а мы и тебе яблочек принесем!;Know this old man with an apple orchard? He doesn't share his apples with anyone, not even for money, just guards them day and night. Let him sleep for a bit and we'll share the apples with you!
Chameleon_Potion_Soldier;Нам приказано выследить бандитов в соседнем лесу. Хотим засаду им устроить. Есть у тебя что-нибудь подходящее?;We have an order to hunt the bandits in the forest. The plan is to ambush them. Got anything useful?
Unlove_Potion_Villager;Эта стерва у меня мужика увела магией черной. Знаю, что сам бы он даже смотреть на нее не стал бы. Верни мне мужа. Знаю, ты в этом виновата!;That bitch stole my husband using black magic! He never even noticed her before! Give him back, I know it's your fault!
Strength_Potion_Villager;Что-то я слабым стал совсем в последнее время. Молот еле поднимаю, меха качать не могу. Верни мне силу мою, ведьма!;I'm not as strong as I used to be. I can barely lift my hammer and pump the bellows. Help me get my strength back, witch!
Healing_Potion_Bandit;Ранили меня сильно. Спаси меня, ведьма. Я денег не пожалею!;I've got a nasty wound. Save me, witch. You won't regret this, promise!
Beauty_Potion_Wealthy_Villager;Завтра свататься поеду, а там семейка высокородная, не уверен, что с легкостью согласятся. Сделай меня краше и лучше!;I'm trying to woo a highborn lady but her parents are hard to impress. Make me the fairest in all the land!
Memory_Potion_Villager;Ушел от меня милый. Не могу жить без него. Убери его из прошлого моего!;My beloved left me. I can't live without him. Just make me forget.
Wake_potion_apples;У меня яблоки ворует кто-то, а я поймать не ногу - только солнце сядет, сразу засыпают. Отгони сон на пару дней. Коли воришку поймаю - премного благодарен буду.;Someone's stealing my apples, but I can't catch the thieves — soon as the sun sets I fall asleep. Give me something to stay awake. When I catch them, I'll reward you plenty.
Wake_Potion_Wealthy_Villager;Мне в дорогу дальную нужно ехать будет завтра. А там лес дремучий и длинный. Хочу пересечь как можно быстрее, да боюсь уснуть. Поможешь? Я тебе из города привезу котел новый!;I have a long trip ahead of me, through a thick and dark forest. I want to cross it as fast as I can, but it's hard to stay awake. Can you help? I'll bring you a new cauldron from the city!
