id;description_RU;description_EN;
mary.7;У них под носом лучшая на свете ведьма, а они тебя в упор не замечают! Не боись, я всем твое мастерство расхвалю.;Finest witch in the world right beneath their noses, and yet they don't recognize you! Be sure, I'll tell everyone of your feats!;129
mary.8;Слыхала, как люди-то тебя поносят? Называют старой никчемной каргой. А ведь ты настоящая колдунья. Я что-нибудь придумаю, чтоб они языки завязали!;Can you believe what those people call you? A good-for-nothing old crone! But you're a real mage! I'll think of something to shut them up.;138
mary.9;Знаешь... я всегда хотела быть как ты. Силой волшебной обладать. Вознестись над всеми. Может... сваришь что-нибудь особое, только для меня?;You know... I always wanted to be like you. To have a real power. To be above everyone and everything. Maybe… you can make something just for me?;145
Tax_Collector.1;Я сборщик налогов. Помоги выбить деньги из местных, и тебе кой-чего перепадет.;I'm here to collect taxes. Help me to shake down the locals and I'll cut you in.;80
Strength_Potion_Villager;Что-то я слабым стал совсем в последнее время. Молот еле поднимаю, меха качать не могу. Верни мне силу мою, ведьма!;;115
ChildrenOfBlacksmith;У нас папка помер недавно — кузнецом был, не слышали? Мы уверены, что его старый знакомый траванул — он сильно батю не любил, завидовал ему. Отомстить хотим! Помогите!;;167
Unlove_Potion_Villager;Эта стерва у меня мужика увела магией черной. Сам бы он даже смотреть на нее не стал бы. Верни мне мужа! Знаю, ты в этом виновата!;;130
WakeCultist_1_Failed;Что-то не очень ему помогло ваше варево. Вы уверены, что то мне дали? Я просил что-нибудь, чтобы взбодриться, но только не алкогольного!;;136
devil.2;Будь так любезна, свари кое-что для меня. Просто смешай {0}, {1} и {2}.;Would you kindly mix something for me, will ya? It's {0}, {1} and {2}.;70
inquisitor.2;Я тебя насквозь вижу. Много таких, как ты, повидал. От правосудия тебе не скрыться, сама знаешь. А пока завари мне чайку.;I know everything about you. Seen lots of those like you. You won't escape justice, you know it. As for now... make me some tea.;128
Wake_Potion_Merchant;Мне в дорогу дальную нужно ехать будет завтра, товары в город везти. А там лес дремучий и долгий. Хочу пересечь как можно быстрее, да боюсь уснуть. Поможешь?;;157
Adventurers_2;А мне - что-нибудь, что прятаться поможет. Не люблю, когда меня враги видеть могут;;82
blind.6;Я хоть и слеп, но иной раз больше других вижу. Не хочешь нажить беду — вари-ка лучше супы да чай.;I may be blind but some things I see clearer than others. You should stick with food and drinks if you know what's good for you.;128
blind.2;Как чудно пахнет! Я слышал, тут потчуют на славу. Удиви же меня!;Extravagant smells! I was told you were making exquisite dishes here! Surprise me!;82
blind.3;О! Говорят, тут можно дивных напитков отведать. Дай-ка чего-нибудь... особенного.;Ah! I was told you were making exquisite drinks here! Get me something... unique.;81
mary.2;Как здорово, когда рядом настоящая ведьма живет! Ты поди и летать умеешь? А где твоя метла? Тебе подарить?;It's so awesome to have a real witch around! I bet you can even fly! Where is your broom? Do you have one?;106
witch-memory.2;Я помню, как мы гуляли среди вереска. Твою улыбку. Твои песни. Цветы, что ты собрал для меня. Все как во сне...;I remember us walking in the heather. Your smile. Your songs. Flowers you gave me. It all seems like a dream now.;113
Chameleon_Hunter;Что-то я будто охотиться разучился — следы не узнаю, звери меня за версту чуят. А раньше ведь лучшим охотником был! Подсоби, а? Я тебе какую-нибудь шкурку красивую принесу!;;172
devil.6;Еще одна рыбка угодила в невод. Славно сработано, дорогуша! А теперь смешай {0}, {1} и {2}.;Another poor soul caught in the web. Nice work, baby! Mix {0}, {1} and {2}.;75
Chameleon_Bandit_RobTaxCollector;Слыхала сколько деньжищ сборщик налогов собрал? Мы его подстеречь хотим, да изъять себе. Спрячешь нас от его глаз? Добычей поделимся.;;133
Curse_Potion_Village_Second;Ты зачем кузнецу силу вернула? Он опять за старое взялся. Делай теперь меня тоже могучим, может хоть так смогу осадить его;;122
Love_Potion_Villager_Third;Никак он со мной остаться не может, всё равно домой возвращается. Дай мне еще бутылочку! Не могу видеть, как он с этой стервой живет.;;133
WakeCultist_2;Приветствую, о могущественная. К вам тут друг мой заходил, просил средство для хозяина. Ну взбодрить там его, растормошить. Понравилось оно ему, можете еще сделать?;;164
devil.3;Всегда рад тебя видеть, красавица! Попробуй бросить в котел {0}, {1} и {2}.;Always a pleasure to see you, cutie! Try to add {0} to {1} and {2}.;67
inquisitor.3;Не увиливай. Мне все твои делишки известны. Гореть тебе... в адском пламени ли, на костре ли святом. Но от огня не уйдешь. Давай, показывай, что там в котле у тебя.;Don't fool around. I know what you're up to. You will burn... In a holy fire or in hell. You. Will. Burn. Now, what do you have in that cauldron?;145
Adventurers_3;Я бы хотел что-нибудь, чтобы с одного удара этого колдуна свалить мог. Терпеть не могу всех этих волшебников... Ничего личного, ладно?;;134
Bird_Keeper_2;Здорово ты помогла с голубями, век не забуду! Пришел к тебе от имени королевского сокольничьего. Его питомцы перестали приносить добычу. Поможешь ему?;;150
blind.5;Какой необычный ресторан! Если б не мой друг, я б никогда... А что у вас в меню?;What peculiar designs have this restaurant! If not for a friend of mine I would never… What do you have on the menu?;116
blind.4;Какой необычный бар! Если б не мой друг, я б никогда... Что нальете?;What peculiar designs have this bar! If not for a friend of mine I would never… What do you have on the tap?;108
Doctor_2;В прошлый раз ты мне здорово помогла! Сделаешь мне теперь какую-нибудь штуку для лечения людей? Хочу понять, как они у тебя работают, да может и сам чего-нибудь перенять смогу;;175
Painter_2;Это снова я! В прошлый раз все отлично удалось. Давно мои картины так меня не радовали. Давай еще раз провернем? Дай еще чего-нибудь!;;133
mary.3;Шла мимо и решила заглянуть. Может, по дому чем помочь? Или с твоим... варевом? Давай почудим!;Just passing by. Do you need any help? Around the house? Maybe I could help you with some… mixing? Let's mix something crazy!;125
witch-memory.3;Как ты мог? После всего, что между нами было? Бросил меня? Посмеялся надо мной? Единственный в жизни шанс, и ты его упустил.;How could you? After all we've said and done? Leave me? Laugh at me like that? One chance in a lifetime, thrown away like garbadge?;131
Beauty_Hunter;Отменное у тебя зелье вышло! Знаешь, дома пустовато как-то одному. Я тут присмотрел себе бабу, но не знаю, как подобраться к ней получше. Есть выпить чего-нибудь для этого дела?;;177
Unlove_Potion_Villager_Third;Ненормальная! Сколько можно семью мою пытаться порушить! Верни мне моего мужа, его душа принадлежит мне!;;104
devil.4;Скучала по мне, душечка? А уж я-то как скучал! Смешай {0}, {1} и {2}.;Did you miss me, sweetheart? I certainly did! Mix {0}, {1} and {2}.;67
mary.4;Ты так добра! Мне всегда хотелось самой... а, неважно. Я в лес иду, может, и для тебя каких травок пособирать? Нужно чего?;You are so nice! I always wished I could… Nevermind. I'm going to the woods, can look for some herbs as well. Do you need some?;127
witch-memory.4;Выбор сделан и скреплен кровью. Теперь ты останешься со мной навсегда. В печали и в радости. Да, котеночек? Теперь ты счастлив?;I've made my choice, and sealed it with blood. You will stay with me forever. Share my burden. Yes, my dear kitty? Are you happy now?;133
Love_Potion_Hunter;Спасительница моя! Я той женщине понравился, но она какую-то чепуху несет. «Не хочу все испортить» и бла-бла. Слышал, что у тебя приворотные зелья есть. Поделись, век буду благодарен!;;183
Memory_Potion_Villager;Никак он со мной оставаться не хочет, даже твои проклятые зелья не помогают. Не могу я жить без него. Убери его из памяти моей!;;127
WakeCultist_3;Доброго дня тебе, хранительница темных знаний. Ты уже очень помогла нам. Немного нашему хозяину осталось, чтобы довести свои дела до конца. Дай же в третий раз то зелье, что пробудит мертвого!;;192
Doctor_3;И снова привет! Мне нравится, как у нас с тобой работа идет. Я слышал, ты можешь делать людей сильнее — наверное, мышцы у них растут быстрее или еще что-то. Дай попробовать для науки?;;183
Painter_3;Я чувствую, как шедевр зреет внутри меня. Это будет самая потрясающая картина во всем мире! Но неграмотные люди могут не понять всей её глубины. Поможешь сделать так, чтобы её любили все?;;187
Doctor_4;Слушай, я тут понял. Если мы объединим знания, то сможем не только лечить! Главная проблема — чтобы плоть стала свежей и молодой. Помоги! У меня есть свежий труп, на нем испробую!;;179
devil.5;Мой брат передает привет. Он очень долго спал. Смешаешь {0}, {1}, и {2}?;My brother sends his regards. He's been asleep for a while. Mix {0}, {1}, {2}.;78
Bandit.1;Местный лорд разыскивает меня за то что мы с парнями раздавали деньги бедным. Помоги спрятаться!;Local lord is searching for me because me and my boys were giving his money to the poor. Help me hide!;102
Chameleon_Potion_Soldier;Нам приказано выследить бандитов в соседнем лесу. Уж очень они стали прытки! Есть у тебя что-нибудь подходящее?;;111
Children_Second;Наш друг пытался доказать, что локоть лизнуть может, и руку себе поломал. Спор он выиграл, но ему так домой нельзя — родители прибьют. Можете вылечить его?;;155
Children_Third;У нас отец уже который месяц пьет, не просыхает ни на день. Нам да матушке достается сильно, никак управу на него найти не можем. Может хоть вы поможете?;;153
Healing_Potion_Bandit;Ранили меня сильно. Спаси меня, ведьма. Я денег не пожалею!;;59
Healing_Potion_Fool_First;Что-то как-то не так оно сработало. Рыбак меня по голосу узнал, да пнул пребольно. Лечи теперь!;;95
Healing_Potion_Fool_Second;Не сработало варево твое. Мельник увидел и тумаков надавал. Вылечи меня, а то всем нажалуюсь, что никудышная из тебя ведьма!;;124
Love_Potion_Villager_Second;Что-то слабовато твое приворотное зелье оказалось, всего несколько дней он у меня прожил, а потом опять к жене сбежал. Навари ещё, это были лучшие дни в моей жизни!;;164
Memory_Potion_Husband;Здравствуй, колдунья. Женушка с соседкой всё дергают меня туда-сюда твоими зельями дрянными. Думают, что я не понимаю ни черта. Дай чего-нибудь, чтобы это прекратилось.;;168
Nightmare_Children;П-привет. Мне это... Ну... Зелье нужно. Да любое подойдет, я вообще на спор к вам пришел, не превращайте меня в лягушку, пожалуйста!!!;;134
Strength_Bandit_EscapeFromPrison;Моих ребят повязали, когда мы пытались деньги отобрать. Не дай им в тюрячке сгнить, помоги нам разломать там всё, да вытащить их.;;129
Strength_Potion_Merchant;Я на ярмарку крупную собираюсь, но боюсь, что лошаденка моя старая не утащит телегу со всем товаром. Можешь дать что-нибудь, чтобы живости ей придать?;;150
Unlove_Potion_Villager_Second;Муж опять из дома сбежал. Опять за своё? Дай мне зелье верное, а не то дождетесь у меня!;;88
