id;description_RU;description_EN;LEN;LEN
Strength_Potion_Worker;Слушай, доченька. Совсем я старый стал, не могу с молодежью тягаться в шахте. Не хочу, чтобы думали, что слабак. Есть у тебя что-нибудь, чтобы силу мне вернуть?;Look, dear. I'm too old and no match for the young lads in the mine. Don't want them to take me for a weakling. Got any of that liquid strength?;164;
bard;Не ладится у меня с выступлениями в местных тавернах. Дай-ка что-нибудь, что я смогу подлить в бочку с брагой, чтобы меня заметил народ и не скупился на похвалы и монеты.;Tough crowds in the local taverns lately. Brew me something I can slip into a beer barrel to make the folks more appreciative of my talents and easily parting with their money.;170;
blind-1;Прости за беспокойство. Глаза мои уже не те, что раньше. Я зашел на чудесный запах, что доносился из твоего дома. Дай-ка отведать варева, что состряпала!;Pardon for bothering you. My eyes are not as good as they used to be. What magnificent smells come out of this place! Can I get a taste of something?;153;
devil.1;Отлично справляешься, милая, страху навела в округе, любо-дорого посмотреть! Может, чего новое попробуем? Смешай-ка {0}, {1} и {2}.;Stellar job all around, darling, the whole town is shaking with fear. A lovely sight. Wanna try something new? Mix {0}, {1} and {2}.;131;
inquisition.1;Слухи о твоем мастерстве разнеслись повсюду. Свари мне свое лучшее зелье, и я награжу тебя по достоинству.;The word about you travels far and wide. Make me your best potion, and your reward will be great indeed.;106;
mushroom-story.1;Держу постоялый двор у тракта. От гостей отбоя нет! Но, видать, сглазил кто-то – посреди делянки с шампиньонами выполз из земли «ведьмин круг»! Строчки, поганки, мухоморы – тьфу! Вытравить бы его.;I'm an innkeeper, my inn is always full of guests. One thing bothers me - a fairy ring grew in the middle of my mushroom plot. All those disgusting toadstools and deathcaps! Got anything to destroy it?;196;
Beauty_Potion_Wealthy_Villager;Завтра свататься поеду, а там семейка высокородная, не уверен, что с легкостью согласятся. Сделай меня краше и лучше!;I'm trying to woo a highborn lady but her parents are hard to impress. Make me the fairest in all the land!;117;
Poison_Potion_Villager;Мы тут хряка растим на конкурс, а в соседней деревне свинья в два раза жирнее и злее. Нечистая скотина, точно тебе говорю. Нужно прикончить её, пока хозяев не сожрала!;Listen, uh, so we're raising this prize pig, right? Well, our neighbors got one that's twice as big and mean. That beast is foul! We have to get rid of it, before it eats us all!;167;
Bird_Keeper_1;Здравствуй, доченька. У меня с голубями напасть какая-то. То почту медленно доставляют, то вообще летать не хотят. Может, ты мне какое-нибудь пойло для них дашь?;Hello sweetheart. I'm worried for my pigeons. They lose their way while carrying the mail or refuse to fly at all. Got anything to perk them up?;161;
Gardener;Доброго здравия вам, уважаемая! В саду, за которым я присматриваю, завелись жучищи вредные. Всю зелень портят! Вывести не могу. Помогите, а?;Well met, oh wise one. I have a pest infestation in my garden. They eat all the green stuff, the little devils! I beg for your help.;140;
Herald;Здравствуй, ведьма. У меня голос пропал, а без него работать не могу – я глашатай местный. Думал, что из-за простуды, но лекарства не помогают никак.;Greetings, oh witch. Care to help? I've lost my voice, which is absolutely disastrous, with me being a town crier. Thought it was a common cold, but medicine doesn't help.;149;
Peasant_Bear;Доброго здоровьица тебе, колдунья. Поспорил я по пьяни, что медведя голыми руками заборю, а отказываться от слова негоже! Дай что-нибудь для храбрости аль для силушки?;Hail, sorceress. I drank too much the other day and made a bet that I'll wrestle a bear with my bare hands. And I'm a man of my word, damn it! Now all I need is something to make me stronger, or more brave at least.;167;
boot_climber;А навари мне, умелица, чего-нибудь, чтобы силы прибавилось или клейкости. Хочу на ярмарке по столбу за сапогами залезть. Моя обувка прохудилась давно, промочу ноги и помру.;See my old boots here? More holes than leather. My feet are wet all the time. But there's a new pair waiting for me on top of the maypole. If only I had better grip to climb it!;172;
nest_harvester;В лесах дичь бить запретили, за рыбу вовсе плетьми выпороть могут. Пухнем с голоду, мать! Помоги хоть до птичьих гнезд на скалах добраться! На них пока запретов нет.;New laws mean we can't hunt, can't fish under the threat of lashes. I've got children to feed. Maybe something to help me climb rocks to reach bird nests? Maybe I'll steal some eggs...;165;166
nest_harvester_2;Взлетел я как птах! Даже выше, чем хотел. И вдруг натолкнулся на гнездо птицы, что на большую сороку похожа. Столько добра у нее ворованного – глаза разбегаются! Ты уж помоги мне утащить побольше, а я поделюсь с тобой.;I flew like a bird! Even higher than I wanted. Suddenly I came upon a nest of a bird that looked like a great magpie. There was so much stuff in its nest, I couldn't believe it. Help me loot it and I'll share the findings with you.;218;231
nest_harvester_3;Слыхала я, селянин крест старинный отыскал. То реликвия Святого Аскета! Подмешать бы чего мужику в пищу, чтобы крест изъять по-тихому. Отнесу его епископу, чтобы ценил меня выше, по пустякам не гонял!;I heard a villager found an ancient cross. It's a relic of St. Ascetic! If I could put something in the man's food to take the cross away quietly — maybe the bishop will stop chasing me around on petty errands then.;200;215
old_knight-1;Милостивая госпожа, я прибыл инкогнито. Тело мое слабеет и рука не так тверда, но сердце просит последнего турнира. Верни мне былое, хотя бы ненадолго, чтобы выступил достойно и ушел на покой.;My lady, I'm here incognito. I can barely sit in the saddle and my sword arm is getting weaker by the day. Yet my heart yearns for one last joust. Could I have my old strength but for a day, to retire with honor?;192;
succub_issue;Слушай, замучила меня демоница распутная! Каждую ночь приходит – и того! Еле встаю уже по утрам… Что? Прогнать? Ты сбрендила? Дай зелье, чтобы помогутнее я стал!;I am beset by demons. Every night a succubus comes to torture and abuse me. I can barely feel my body in the morning. What are you saying? Banish her? Are you nuts?!? Just make me able to endure it!;161;
zolotar;Здеся алхымии разводят? Я навозу принес. Свежак! В лопух завернул. В золото переколдуем? Я навоз ношу, ты чаруешь. Богатеями станем! Чего морду кривишь? Хоть зелье дай, сам управлюсь.;You doin' alc-homie? I've got a load of freshest manure right here. Let's make some gold! I'll provide the stuff, just do your magic. We'll get rich in no time! What's with the sour face, eh? Give me some potion, I'll do it myself.;183;
Doctor_1;Мое призвание – помогать людям, как и ваше! Нужно ампутации делать, а пациенты этим недовольны. Возражают, так сказать. Поделитесь чем-нибудь, чтоб мои клиенты в забытье впали?;Helping people is my calling. I find that amputating the bad parts is often the best way. Not everyone agrees with me though. Why, some flat out refuse, often violently. Anything to dull their pain?;176;
WakeCultist_1;Здравствуйте, уважаемая. Мне бы, это... средство какое-нибудь для, э-э-э, хозяина. Спит он слишком много. Пробудить бы его от древнего... в смысле, взбодрить, так сказать.;Greetings. I need, let's say, a medication for my, er, master. He sleeps too much. Something to awaken him from his ancient slumber, haha, I mean, cheer him up a little.;171;
witch-memory-1;Прошлое не дает мне покоя. Это все моя вина. Если бы я только... Хоть сделанного не воротишь, а забыть не могу.;The past doesn't let me go. It's all my fault. What's done is done and there's no way back. And no forgetting.;111;
alcohol_healer;Сети ставил намедни, а вода холодная, ни одна жаба в такую не полезет! Чихаю теперь – изба трясется. Но еликсиров не приму! Дай чего покрепче, чтоб слезу вышибало.;Been setting my nets the other day. The water was so cold I saw frogs turning into icicles! Now I'm sneezing so hard my house is shaking. No, I don't wanna them stinking elixirs! Hard liquor is best medicine.;163;
Family-feud;Мы с тестем как выпьем, так спорим до красных ушей! Жена сказала, еще раз сцепимся – выгонит обоих. Навари мне такого, чтобы и вякнуть не мог! Я себя знаю – не удержусь ведь.;Whenever I drink with my father-in-law we end up fighting. My wife says she'd had enough. Any keep-you-damn-mouth-shut brew? I just can't help myself.;174;
philosopher;Мыслитель я. В бочке жил, в горы уходил, в болоте сидел, а постичь суть мира так и не смог. Жена работать гонит, а разве истину в работе сыщешь? Навостри мне ум или супу дай хотя бы.;I was seeking the truth in a barrel, in the mountains, in swamp waters. Tried to achieve enlightenment, all in vain. My wife tells me to find a job, but who ever found the truth that way? Help me out, some soup will do too.;182;
Portrait_issue;Портретист ко мне едет. А я как глянусь в зеркало – так и в слезы! Годы никого краше не делают. Хочу хоть на день помолодеть, а потом вместо зеркала на портрет глядеть стану.;Time spares no one. I can't look at myself without crying. If only I could become young again, just for a day. I'll ask an artist to paint my portrait then and replace my mirror with it.;174;
sculptor;Повелели мне принцессе статую выточить. Да вот беда – не успеваю. Зело объемная уродилась девица! Дай питья, чтобы спать не хотелось, ночами работать буду, а то повесят меня.;I was ordered to carve a statue of the princess. Didn't expect her to be so...voluminous. Now I'm out of time and the work is only half done. I'll have to work night and day to avoid the noose. Save me!;174;
stolen_rooster_1;Здравствуй, кудесница. Замучили меня… кхм… женихи, вот! Дай что-нибудь, чтобы меня не замечали, обходили за три дороги. Некогда мне женихаться, хозяйство ждет.;I'll get straight to the point. I'm sick and tired of getting all those... suitors round meself. I want something to become plain and hard-to-see. I'm a busy woman, I am.;159;
Children_First;Здравствуйте, многоуважаемая ведьма! Не проклинайте нас, пожалуйста. А вы взаправду волшебные зелья варите? Тогда дайте нам такое, чтобы корова голосом человеческим говорила!;Greetings, oh esteemed witch! Please don't curse us. Is it true you're making magical potions? Give us one that can make a cow speak!;174;
Cow_1;Я, знаешь ли, теперь личность известная, но против своей воли! Еле улизнула от детишек, что меня по выступлениям таскают. Мне б траву жевать, а не вот это все… потому спрячь меня, либо голоса лиши!;Mooraculous, it looks like I'm now quite famous around here. But you know what? I don't like it one bit. I want to get back to mindless grass chewing. Hide me or take my voice away!;181;177
Cow_2;Сударыня ведьма, а помогите нам еще разок, а? Корова-то наша пропала! А мы билетов кучу продали, заложили добро из дома, чтобы музыкантов заказать! Найти ее нужно, иначе хоть самим в шкуру обряжайся и пой.;Miss Witch, can you help us? Our cow is missing! We sold a lot of tickets, and pawned some family goods to book musicians! We have to find it, otherwise we'll have to dress up in a cow skin and sing ourselves!;205;209
Children_Second;Наш друг пытался доказать, что локоть лизнуть может, и руку себе поломал. Спор он выиграл, но ему так домой нельзя – родители прибьют. Можете вылечить его?;I dared a friend of mine to lick his own elbow and he did it...by breaking his arm. Can you help? Pretty please? His parents are gonna kill him.;155;
Fool_laughter;Приветик, коллега! Скучные тут люди, никто шуток не понимает, окажи помощь собрату по профессии, а? Хочу местных развеселить, унылые какие-то они все.;Heya, sister! The locals are such a dull lot. No one can take a joke. I just want to make them laugh. Give me a hand, will ya?;150;
Memory_Potion_Soldier;Доброго тебе дня, колдунья. Я уже пару лет, как с войны вернулся, но до сих пор не могу забыть всех ужасов, что пережил. Сделай с этим что-нибудь, умоляю!;Good day to you, oh witch. It's been years since I came back from war yet the horrors are still fresh in my mind. Help me, I beg of you.;154;
Sleep_Villager;Слушай, родная. Ко мне брат в гости приехал пару дней назад, я с тех пор уснуть не могу. Храпит так, что печь трясется. Дай что-нибудь, чтобы его вырубило хорошенечко.;Hey, sweetheart. My brother came to visit and I haven't slept for two days. He's snoring like a bear! Help, please, give me anything.;167;
Wake_potion_apples;У меня яблоки ворует кто-то, а я лиходея поймать не могу – только солнце сядет, сразу засыпаю. Отгони сон на пару дней. Коли воришку поймаю – премного благодарен буду.;Someone's stealing my apples, but I can't catch the thieves – soon as the sun sets I fall asleep. Give me something to stay awake. When I catch them, I'll reward you plenty.;159;
mary.1;Ага, ты должно быть та ведьма, о которой все говорят! Моему отцу нужно лекарство – голова раскалывается, аж жуть. Я щедро заплачу!;Wow, you're the witch they keep talking about? I need a medicine for my father. He's got a terrible headache. I got some money for you!;130;
Memory_Potion_Hunter;От меня жена ушла к другому. Сколько ни упрашивал – возвращаться не хочет, прям светится вся. Выпивкой из памяти стереть её не могу, может, ты поможешь?;My wife left me. I tried to get her back, but to no avail. She’s so happy now, with him. Tried to drink my memories away and failed even at that. You're my last hope.;150;
Sleep_Potion_Children;У одного старичка местного яблок – целый сад. А он ими не делится и даже продавать не хочет, дни напролет караулит. Пусть поспит чуть-чуть, а мы и тебе яблочек принесем!;Know this old man with an apple orchard? He doesn't share with anyone, just guards it day and night. Let him sleep for a bit and we'll share the apples with you!;169;
mary.5;Услышала, как какие-то подозрительные типы спорили, настоящая ты ведьма или нет. Скажу им, что ты моя выжившая из ума тетушка. Вот умора будет! Только свари мне приворотное зелье за это, ну пожалуйста!;Heard some fishy people asking about you being a real witch or not. Gonna tell them, you're my old auntie who is completely out of her mind. Funny, is it? And you brew me some love potion for a favor, pretty please!;201;
mary.6;Уму непостижимо, что только люди о тебе не болтают! Винят во всех бедах. А ты ж хорошая, я-то знаю. Ну, я им устрою такое, быстро рты позатыкают! Мне бы только зелье силы для этого.;Can you believe what those people think about you? Blaming you for all sorts of stuff! But you're good, I know it! I'm planning something to shut them up. I'm gonna need the strength elixir for that.;181;
mary.7;У них под носом лучшая на свете ведьма, а они тебя в упор не замечают! Не боись, я всем твое мастерство расхвалю. Снабди меня целебными отварами для этого.;Finest witch in the world right beneath their noses, and yet they don't recognize you! Make no mistake, I'll tell everyone of your feats! Help me with some healing potions.;155;
mary.8;Слыхала, как люди-то тебя поносят? Называют старой никчемной каргой. А ведь ты настоящая колдунья. Я что-нибудь придумаю, чтоб они языки завязали! Только дай мне зелье порчи!;Can you believe what those people call you? A good-for-nothing old crone! But you're a real mage! I'll show them yet, I'll twist their tongues in knots, I will! If you give me some curse potion.;174;
mary.9;Знаешь... я всегда хотела быть как ты. Силой волшебной обладать. Вознестись над всеми. Может... сваришь что-нибудь особое, только для меня?;You know... I always wanted to be like you. To have a real power. To be above everyone and everything. Maybe… you can make something just for me?;139;
inquisitor.2;Я тебя насквозь вижу. Много таких, как ты, повстречал на пути. От правосудия тебе не скрыться, сама знаешь. А пока завари мне чаёк.;I know everything about you. Seen lots of those like you. You won't escape justice, you know it. As for now... make me some tea.;131;
Wake_Potion_Merchant;Мне в дорогу дальнюю нужно ехать завтра, товары в город везти. А там лес по пути дремучий и долгий. Хочу пересечь его как можно быстрее, да боюсь уснуть. Поможешь?;I have a long trip ahead of me, through a thick and dark forest. I want to cross it as fast as I can, but it's hard to stay awake. Can you help?;163;
tavern;Замучил меня и постояльцев певец этот, как его?! Гнустав? Не дает покоя своими песенками и прибаутками. Не могу отвадить. Помоги забыть ему дорогу в мой трактир.;I have a pest problem. This damn bard keeps bothering me and my guests with his silly songs and pranks. I want him to forget my tavern even exists.;161;
mushroom-story.3;Не помогло твое средство от грибного круга! Давай еще попробуем, а то, чую, сам зарасту грибами по самые уши, и дело мое сгинет.;Your potion was useless - the fairy ring is still there! Let's try something else before they start growing on my body.;128;
old_knight-2;Слухи о твоем мастерстве не лгут! Я был подобен падающей скале, и ни один противник не устоял передо мной. Теперь я жажду победы вновь! Не скупись, ведьма, подавай лучшее питье!;The tales of your craftsmanship were true! My strikes were like falling rocks and no one could stand before me. I must taste the sweet victory again! Give me your strongest potions, witch.;177;
Bandit.1;Ловчие местного барона ищут меня за то, что мы с парнями раздавали нищим и голодающим его деньги и зерно. Выручи меня, ведьма! А то видишь, как лютует этот жадный хряк? Никому житья от него нет.;The baron's men are looking for me because me and the boys were giving his money to the poor. The fat pig is bleeding the country dry while the people are starving. Help me, witch!;194;
Tax_Collector.1;Я приехал к вам налоги собирать. А народ у вас хитрый, научился добро прятать! Помоги обобрать местных, казну-то надо пополнять. Я в долгу не останусь!;I'm here to collect taxes. The locals are a cunning lot and prefer to hide their riches. Help me shake them down and I'll cut you in.;151;
Strength_Potion_Villager;Что-то я совсем слабым стал в последнее время. Молот еле поднимаю, меха качать не могу. Вороти мне силу, ведьма!;I've grown too weak and frail in my old age. Can barely lift my hammer and pump the bellows these days. Help me get my strength back, witch!;112;
ChildrenOfBlacksmith;У нас папка помер недавно – кузнецом был, не слышали? Мы уверены, что его старый знакомый траванул – он сильно батю не любил, завидовал ему. Отомстить хотим! Помогите!;Our daddy died recently – he was a smith, maybe you knew him? Anyways, we're sure his old friend poisoned him – he was jealous and harbored grudges. We want revenge!;167;
Curse_Potion_Village_Second;Снова-здорово! Кузнец наш и вовсе дьяволом сделался. Колотит меня, что есть мочи. Сделай теперь меня тоже могучим, может, хоть так смогу осадить его.;Heard you'd helped the smith get his strength back. Why the hell would you do that? Now he thrashes me on the regular again. Now you must make me as tough as he is, so I'll have a fighting chance.;149;
Healing_Potion_Villager2;Снова я к тебе. Да голова-то не болит больше! А пятна перед глазами остались, так и мелькает что-то черное. Слыхал, ягодка одна есть, для зрения шибко полезная. Нет ли ее у тебя в запасе, пошукай?;Can't thank you enough for curing my headaches. Although I'm still having visions and seeing furtive shadows. Heard there is a forest berry that's very good for the eyes. Do you happen to have it?;196;
Healing_Potion_Villager_Final;Дивное зелье ты мне дала, тени я смог разглядеть. Смотрю, а это черти рогатые шастают ко мне в подвал с кружками, брагу воруют, окаянные! Подсоби от них избавиться, век не забуду!;What a wonderful potion did you give me! My sight pierced shadows and I finally saw their true forms. Pixies snooping around my cellar and stealing my beer! I'll be eternally grateful if you help me get rid of them.;183;
Sick_Animal_Villager;Доброго здоровья, ведунья. Скотинка моя захворала, дай для нее лекарство какое.;Wishing you good health, witch. My livestock fell ill, got any remedies?;79;
Unlove_Potion_Villager;Эта стерва у меня мужика увела магией черной. Сам-то он даже смотреть на нее не стал бы. Верни мне мужа! Знаю, ты в этом виновата!;That bitch stole my husband using black magic! He never even noticed her before! Give him back, I know it's your fault!;130;
blind-2;Как чудно пахнет! Я слышал, тут потчуют на славу. Удиви же меня!;Extravagant smells! I was told you were making exquisite dishes here! Surprise me!;64;
blind-3;О! Говорят, тут можно дивных напитков отведать. Дай-ка чего-нибудь... особенного.;Ah! I was told you were making exquisite drinks here! I want to try something... unique.;81;
devil.2;Атмосфера у тебя в городе просто восхитительная! Будь так любезна, свари кое-что для меня. Просто смешай {0}, {1} и {2}.;Nicely done, I can feel the terror in your town from afar. Would you kindly brew something for me? Just mix {0}, {1} and {2}.;120;
mushroom-story.4;Вызнал, что грибница бормочет. Оказывается, зарыли на моей делянке убитого грибника, а тому под землей тесно стало, гложет его голод… Ты смешай грибочков разных. Накормим бедолагу.;I've figured out what the shrooms were trying to say. Turns out someone buried a murdered mushroom-picker there. He hungers. Let's feed him a mix of mushrooms.;180;
mushroom-story.2;Не помог твой яд. Мало того – грибной круг шире стал. Теперь внутри зверушки дохлые лежат. А из-под земли бубнит кто-то, стонет и охает…;The poison didn't work. Even worse, the fairy ring got wider. Now I keep finding dead critters inside. And it seems that someone's muttering and moaning underneath...;136;
WakeCultist_1_Failed;Что-то не помогло хозяину ваше варево. Я просил что-нибудь, чтобы взбодриться. Вот принес полуживую летучую мышь, попробуй ее положить.;Doesn't look like your brew worked properly. Again, I wanted some pick-me-up. Here, try putting in this bat, it should help.;135;
witch-memory-121;Я виновата во всем, лишь я. Зачем, зачем... Вернуть бы все назад. Этот судьбоносный миг, он навсегда останется в моей памяти.;I am the one to blame for all this. Why, oh why... If only I could turn back time. That fateful moment, burned forever in my memory.;125;
witch-memory-2;Я помню, как мы гуляли среди вереска. Твою улыбку. Твои песни. Цветы, что ты собрал для меня. Все как во сне...;I remember us walking through heather field. Your smile. Your songs. Flowers you gave me. It all seems like a dream now.;111;
stolen_rooster_5;Умыкнули у меня петуха золотого! Удачу приносил – любое дело с ним спорилось. Знаю, соседка это. Помоги вернуть пропажу! Твое ремесло виновато, чую. Обманешь – донесу инквизиции!;My golden rooster was stolen! He brought me luck and now he's gone. I know it's that girl next door. Help me get it back! I can smell your hand behind it. Trick me at your own peril.;178;
stolen_rooster_2;Замучила соседка-неумеха. Ферме ладу не даст, а петуха моего счастливого выкрасть хочет! Придет – гони в шею. А мне подай чего бодрящего. Устала, пока дошла до тебя.;My good-for-nothing neighbor is such a bother. All she wants is to steal my lucky rooster. Kick her out if she ever comes asking for help, you hear me? Now, make me some refreshments. I got tired from walking.;165;
Children_Third;У нас отец уже который месяц пьет, не просыхает ни на день. Нам да матушке достается сильно, никак управу на него найти не можем. Может, хоть вы поможете?;Our daddy’s drinking like a fish. Hasn't been sober in months. He beats mother and us something awful. Maybe some of your brews can help?;154;
Fool_1;Привет, подруга! Давай мельника разыграем? Ты меня замаскируешь, а я подкараулю его на складе и мукой обсыплю с головы до пят. Вот уморительно будет!;Hello, friendo! Let's prank the miller! I wanna hide in his storeroom and shower him with flour. It'll be hysterical!;149;
mary.2;Как здорово, когда рядом настоящая ведьма живет! Знаешь, мне тут соседский парень не дает проходу. Может, у тебя найдется забавное зелье, чтобы его проучить? Давай вместе сварим!;It's so awesome to have a real witch around! Listen, I have that fella from my street pushing me around, maybe you can find some fancy potion to give him a wipe. I can help too!;178;
Chameleon_Hunter;Что-то я будто охотиться разучился – следы не узнаю, звери меня за версту чуют. А раньше ведь лучшим охотником был! Подсоби, а? Я тебе какую-нибудь шкурку красивую принесу!;I lost my hunting knack – can’t read the tracks and prey eludes me. I used to be the best hunter around! Help me, and I’ll get you some nice furs.;172;
devil.6;Еще одна рыбка угодила в невод. Славно сработано, дорогуша! А теперь смешай {0}, {1} и {2}.;Another fly in the web. Nice work, baby! Mix {0}, {1} and {2}.;91;
inquisitor.3;Не увиливай. Мне все твои делишки известны. Гореть тебе... в адском пламени ли, на костре ли святом, но от огня не уйдешь. Давай, показывай, что там в котле у тебя!;Don't fool around. I know what you're up to. You will burn... In a holy fire or in hell. You. Will. Burn. Now, what do you have in that cauldron?;164;
old_knight-3;Было трудно, но я одолел противников и пробился в полуфинал. Но, чую, не сладить мне с самыми искусными бойцами. И снова взываю к твоему ремеслу, желая стать чемпионом.;It was tough but I did it. Every opponent fell before my might. Now I'm against the very best and I don't think I'm up to the task. I am once again calling on your skill and craft in hopes of becoming a champion.;168;
Chameleon_Potion_Soldier;Нам приказано выследить бандитов в соседнем лесу, да как их искать по буреломам? И прыткие стали поганцы, хитрые! Таких голыми руками не возьмешь. Есть у тебя что-нибудь подходящее для нашего ремесла?;We've been ordered to hunt the bandits hiding in the local forest. Place's a damn maze. And the ruffians' been getting more elusive and crafty than ever lately. Got anything we can use?;200;
Chameleon_Bandit_RobTaxCollector;Слыхала, как сборщик налогов по местным прошелся? Все закрома выскреб, кровосос. Вот мы и решили с парнями подстеречь мытаря и вернуть все добро честным людям! Спрячешь нас от его глаз?;The taxman sure did a work on the locals this time. Squeezed every copper outta them. Yeah, so me and the boys were thinking of getting it all back, with interest. Just need to get a drop on him. Any help?;185;
Painter_2;Это снова я! В прошлый раз все отлично удалось. Давно мои картины так меня не радовали. Давай еще разок добавим какое-нибудь зелье в них?;Me again. What a smashing success! I don't remember the last time painting brought me such joy. Let's try adding some other potion to my pictures!;137;
Healing_Potion_Villager3;Снова я к тебе. Да голова-то не болит больше. А пятна в глазах остались, так и мелькает что-то черное, точно мыши бегают. Тревожно мне, помоги тени разглядеть.;I come again asking for your help. My head is okay, thanks. Yet I still see little black spots, like mice scuttling around. It bothers me a great deal, help me clear my sight.;159;
Healing_Potion_Villager31;Не помогло варево твое, так в глазах и рябит! В лес вышел, молиться начал, да на поганочку и наткнулся. Ты ее в котелок замешай, а то к кому мне еще податься, горемыке?;I still see little black spots, like mice scuttling around. I went to the woods and prayed, and my sight fell upon the little toadstool. Try putting it into your cauldron, you're the one bound to help me.;168;
Love_Potion_Villager_Third;Никак он со мной остаться не может, всё равно домой возвращается. Дай мне еще бутылочку! Не могу видеть, как он с этой стервой живет.;Why must he go home, why can’t he just stay with me? Get me another drop, I can’t bear him living with that bitch!;133;
blind-5;Какой необычный ресторан! Если б не мой друг, я б никогда... А что у вас в меню?;What quaint little inn! If not for a friend of mine I would never… What do you have on the menu?;80;
blind-4;Какой необычный бар! Если б не мой друг, я б никогда... Что нальете?;What quaint little pub! If not for a friend of mine I would never… What do you have on the tap?;68;
devil.3;Всегда рад тебя видеть, красавица! Попробуй бросить в котел {0}, {1} и {2}.;Always a pleasure to see you, doll! Try to add {0} to {1} and {2}.;75;
Bird_Keeper_2;Здорово ты помогла с голубями, век не забуду! Пришел к тебе от имени королевского сокольничего. Его питомцы перестали приносить добычу. Поможешь ему?;Great work with those pigeons! Now I come at the behest of royal falconer. His pets can't catch any prey lately. Can you help?;149;
Doctor_2;В прошлый раз ты мне здорово помогла! Сделаешь мне теперь какую-нибудь штуку для лечения людей? Хочу понять, как у тебя зелья работают, а ну как и сам чего-нибудь перенять смогу?;Your last potion helped me a lot. Now, can you make an actual healing potion? I must understand how they work, maybe I can replicate this effect.;178;
WakeCultist_2;Приветствую, о могущественная. К вам тут друг мой заходил, просил средство для хозяина. Взбодрить, растормошить там... Понравилось оно ему, можете еще сделать?;Greetings, oh mighty one. You've met a friend of mine, he asked for a pick-me-up for our master. He liked it a great deal, can you make another?;159;
WakeCultist_1_Failed2;Не то ты варишь, ведьма! Нам нужно то, что пробудит мертвого. Друзья подсказали, что грибочек эдакий нужен, который в суп кладут.;Wrong brew, witch. We need something that can wake you up from the deepest slumber. I heard there's a mushroom that can help. An edible one.;129;
witch-memory-3;Как ты мог? После всего, что между нами было? Бросил меня? Посмеялся надо мной? Единственный в жизни шанс, и ты его упустил.;How could you? After all we've been through? Ditch me? Laugh at me like that? Once-in-a-lifetime chance, thrown away like garbage?;124;
